scaffold,frequency
CC1CCC(C)CCC(C)CCC(C)CCC(C)CC(CC(C)C2CCCCC2)C(C)CCC(CC(C)CCC(C)CCC(C)CCC2CCC3CCCCC32)C(C)CCC(C)CCC(C)CCC(C)CC1,1
CC1CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CC1,1
CC1CCC(C2CC2)C2CC(C3C[CH]C[CH]C3)CCC12,1
CC1CCC(C2CC2)C2CC(C3C[C]4CCCC[C]4C3)CCC12,1
CC1CCC(C2CCC3C(C)CCC(C4CC4)C3C2)C1,1
CC1CCC(C2CCCC2)C(C)C1,1
CC1CCC(C2CCCCC2)C2CC(C3C[C]4C[C]4C3)CCC12,1
CC1CCC(C2CCCCC2)CC1,1
CC1CCC(CC(C)C2CC2)C1,1
CC1CCC1,1
CC1CCC23C(CCC2CC(C)C2C3CCC3C(C4CCCC4)CC(C)C4CC432)C1,1
CC1CCC2C(C1)CC1C3CC4CCC(CC(C)C5CCC(C6CCCCC6)CC5)CC4CC3CC1C2C,1
CC1CCC2C(C1)CC1C3CC4CCCCC4CC3CC1C2C,1
CC1CCC2C(CC3CCC4CCCCC4C3)C3CC4CCCC4CC3C(C3CCCCC3)C12,1
CC1CCC2C(CCC3C2CCC2C(CCCC4CC4)C(C)CC23)C1,1
CC1CCC2C(CCC3C4CCC5(CCC(C)C5)C4CC4CC423)C1,1
CC1CCC2C(CCC3C4CCCC4CCC23)C1,1
CC1CCC2C1CCC1C2CC2CC23CC2CC2C2CC213,1
CC1CCC2C3CCC(C3)C2CC1,1
CC1CCC2CC3CC(CCC4CCCCC4)CC3CC2C1,1
CC1CCC2CC3CC4CCCC4CC3C(C3CCCCC3)C12,1
CC1CCC2CCC(CC3CCCCC3)CC12,1
CC1CCC2CCCC3C(C4CCCCC4)CCC1C23,1
CC1CCC2CCCCC2C1,1
CC1CCC2CCCCC2C2CCCCC12,1
CC1CCC2[CH]CCC3C(C4CCCCC4)CCC1C23,1
CC1CCCC(C)C(C)CC2CCC3CCC(CC1)C32,1
CC1CCCC(CCC2CCC3C(C2)C(C)C3CC(C)C(C)C2CCCC2)C1,1
CC1CCCC1C1CCCCC1,1
CC1CCCC1CCC1C(C)CCC2CCCCC21,1
CC1CCCC1CCCCCCCCCCCC1CCC(C2CCCC2)C1,1
CC1CCCC1CCCCCCCCCCCCCC1CCCC1,1
CC1CCCC2(C1)CC1CCC2CC1,1
CC1CCCC2C(CCCC3CCCCC32)C1,1
CC1CCCC2C([CH]CCC3CCCCC32)C1,1
CC1CCCC2C1CC1CCCC3CCCC2C31,1
CC1CCCC2CC(C3CCCCC3)CCC12,1
CC1CCCC2CC3CCCCC3CC12,1
CC1CCCC2CCC(CCC3CCCCC3)C12,1
CC1CCCC2CCCCC2C(C)CCC2CC34CC2CCC3CC(CC(C)C2CCCCC2)C(C1)C4,1
CC1CCCCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CCC(C)CC1,1
CC1CCCCC1C1CC(C2CCCCC2)C(C2CCCCC2C)C1,1
CC1CCCCC1CC1CCCC1,1
CC1CCCCC1CCC1CCCCC1,1
CC1CCCCC1[C]1C[CH]CC1,1
CC1CCCCC1[C]1C[CH][CH]C1,1
CC1CCCCCC(C)C2CCCC2C(C)CCC(C)C(CCC2CCCCC2)CC(C)C2CCCC2C(C)CC1,1
CC1CCCCCCC(CC(C)CCC2CCCCC2)C(C)CC(CC2CCCCC2)C(C)CC(CC2CCC3CCCCC32)C(C)CCC(C)CC1,1
CC1CCCCCCCC2CCCC(C2)C(C)C(C)C2CCCCC2C(C)CC(CCC2CCCCC2)CCC1,1
CC1CCCCCCCCCCCCCCCCCCCC(CC2CCCCC2)CC2CCCC(CCCCCCCCCCC1)C2,1
CC1CCCC[CH][CH][CH][CH][CH][CH][CH][CH]CCCC2CC3CCC4CC(C1)C(CCC1CCCCC1)CC4C3C2C,1
CC1CC[C]2[C]1[C](C1CCCCC1)C1CC3CCCC3CC1[C]2C[C]1[CH][CH][C]2C[C](C3CCCC3)CC[C]2C1,1
