scaffold,frequency
CC([CH]CC(C)C1CCC2CCCCC2C1)C[C]([CH]CC1[CH]C[C]2CCCC[C]2C1)CC1CCCCC1,1
CC([CH]CC1CCCCC1)CCCCCC(C)(CCCCCC(C)CC[CH][C]1CC[C]2[C]3CC[C]4C[CH]CCC4[C]3C[CH]C12)CCCCC1CCC2CCCCC21,1
CC([CH]CC1CCCCC1)CCCCCC(C)(CCCCCC(C)CC[CH][C]1CC[C]2[C]3[CH]C[C]4C[CH]CCC4[C]3CCC12)CCCCC1CCC2CCCCC21,1
CC([CH]C[CH]CCC1CCCCC1)C1[CH]CC2CCCCC2C1,1
CC([CH][CH]C1CCCCC1)C[C]1CC2[CH]C(C)C3[CH]C[C]4CCC4[C]3[C](CC(C)C3CCCCC3)C(C1)C2,1
CC1(C)CC(CC2CCCCC2)CC2CCCCC21,1
CC1(C)CCC2CCC(CCC3CCCC(C4CCCCC4)C3)CC21,1
CC1C(C)C(C2CCC(C3CCCCC3)CC2)CC2CCCCC21,1
CC1C(C2CC3CCC2CC3)CC2CCCC3CCCC1C32,1
CC1C(C2CCCCC2)CC(C2CCCCC2)CC1C1CCCCC1,1
