,scaffold,frequency
314,c1ccc(-c2conc2-c2ccccc2)cc1,2
315,C1=C[C]2[C](CC1)COc1ccccc12,1
316,O=C1C=C2CC[C]3[C]4CC[CH]C4CC[C]3C2CC1,1
317,C1=CC2c3ccccc3OCC2CC1,1
318,O=C([CH]C12CC3CC(CC(C3)C1)C2)N1[CH]C[C]2C[C]21,1
319,O=C1Nc2ccccc2C(C#CC2CC2)O1,1
320,O=C1CN=C(c2ccccn2)c2ccccc2N1,1
321,c1nsnc1N1CCOCC1,1
322,O=C1CNC(=O)N1c1ccccc1,1
323,O=C(N[CH]Cc1ccccc1)C1CCCCC1,1
324,O=C1CCN2CCc3ccccc3C2C1,1
325,O=C(NCCc1ccccc1)C1CCCCC1,1
326,c1ccc(CNCc2cccc3ccccc23)cc1,1
327,c1ccc(CCCN2CCOCC2)cc1,1
328,O=C(Cc1ccccc1)c1ccccc1,1
329,O=S(=O)(Nc1ccccc1)c1ccccc1,1
330,O=C(Cc1ccccc1)OC1CC2[NH2+]C(C1)C1OC21,2
331,O=C(OC1CC[NH2+]C1)C(c1ccccc1)C1CCCC1,1
332,C1=NCC2C3CC4CC2(CC(O4)O3)N1,1
333,O=c1cc[nH]c2cc(N3CCNCC3)ccc12,1
334,O=C(NN1C[C]2CCC[C]2C1)NS(=O)(=O)c1ccccc1,1
335,O=C(NCc1ccccc1)c1cc(-c2nn[nH]n2)ccn1,1
336,O=C(OC1C[C]2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,1
337,c1ccc(C2OCc3ccccc32)cc1,1
338,[CH]1CN2CC[C]1C[C]2[CH]c1ccnc2ccccc12,1
339,C=C1CC2CCCC2C2CCC3=CC(=O)CCC3C12,2
340,O=S(=O)(Nc1ccccc1)c1nc2ncccn2n1,1
341,O=C(NCc1ccccc1)c1cc(-c2nn[nH]n2)ncn1,2
342,O=C1c2ccccc2C(=O)c2cnccc21,1
343,[CH]1C=C2[C](Cc3c[nH]c4cccc2c34)NC1,4
344,C1=C2c3cccc4[nH]cc(c34)CC2NCC1,3
345,[CH](c1ccccc1)c1ccccc1,2
346,c1ccc(C2=NCc3cncn3-c3ccccc32)cc1,1
347,C(=Cn1cncn1)c1ccccc1,1
348,c1ccc(Sc2ncccn2)cc1,1
349,c1ccc2c(c1)C[C]1C3CCCCC23CCN1CC1CCC1,1
350,c1ccc2c(c1)CC1C3CCCCC23CCN1CC1CCC1,1
351,O=C1CCCC(=O)C1C(=O)c1ccccc1,1
352,O=c1c(-c2ccccc2)c[nH]cc1-c1ccccc1,1
353,O=C(NC(=NCc1ccccc1)Nc1ccccc1)c1ccccc1,10
354,O=C(Nc1ccccn1)C1NS(=O)(=O)c2ccccc2C1=O,1
355,c1ccc(NCc2ccco2)cc1,1
356,c1ccc(C(c2ccccc2)c2cncnc2)cc1,1
357,O=S1(=O)NCNc2ccccc21,3
358,O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,2
359,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,1
360,c1cc(-c2nnn(CC3CCCCC3)n2)ccn1,2
361,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,1
362,O=C1C[CH]O[C]2O[C]3[CH][CH][CH][CH][C]3OC21,1
