,scaffold,frequency
412,[CH]1CCC2[C](C1)C[CH][C]1[C]3CC[CH]C3[CH]C[C]12,1
413,[CH]1[CH][CH][C](C2CCCC(CC3CCCCC3)C2)C[CH]1,1
414,C1CCC(CC2CCCC(C3CCCCC3)C2)CC1,1
415,CC1C(CCCC2CCCCC2)C(C2CCCCC2)C1C1CCCCC1,1
416,C1CCC(CCC(CC2CCCCC2)CC2CCCC2)CC1,1
417,C1CCC2CC(C3CCCC(C45CC6CC(CC(C6)C4)C5)C3)CCC2C1,1
418,CC1CCCCC1CCC1CCCC2C(CCCCC3CC3)CCC12,1
419,CC1[CH]C[CH]CC1CCC1CCCC2[CH]CC[C]21,2
420,CC1CC2CCC(CCC3CCC(C4CCC5CCCCC54)CC3)CC2C1,1
421,CC1CCC2CC3CC4CCCC4CC3C(C3CCCCC3)C12,1
422,CC(C[C]1[C]2CC[CH]C2C1C)C1CCCC2CCCCC21,1
423,CC1CCC2C(CCC3C4CCC5(CCC(C)C5)C4CC4CC423)C1,1
424,CC1[CH][C](C2CCCCC2)CC2CCCCC2C1,1
425,CC1CC2CCCCC2CC(C2CCCCC2)C1,1
426,CC(C[C]1[C]2CCC(CC3CCCCC3)CC2C1C)CC1CCCC1,1
427,CC1CCC(C2CCCCC2)C2CC(C3C[C]4C[C]4C3)CCC12,1
428,CC1C(C2CCCCC2)CCC2C(C3CCCCC3)CCCC12,1
429,CC1CCC2[C]3CCC4[C](C[C]5CCCC54)C3CCC2C1,1
430,CC1CCC2C(CCC3C2CCC2C4CCCC4CC23)C1,3
